,iso6393,language,languageLabel,nativeSpeakers,totalSpeakers,ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Level,Countries,Family_ID,Language_ID_x,Closest_ISO369P3code,First_Year_Of_Documentation,Last_Year_Of_Documentation,Is_Isolate,Language_ID_y,classification,path,top_family_id,first_subfamily_id,top_family,top_family_level,first_subfamily,first_subfamily_level,mainScript
211,wes,http://www.wikidata.org/entity/Q35541,Cameroon Pidgin,2000000,,came1254,Cameroon Pidgin,Africa,5.43932,9.80166,came1254,wes,language,CM,indo1319,,wes,,,False,came1254,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/west2851/coas1331,"['indo1319', 'clas1257', 'germ1287', 'nort3152', 'west2793', 'nort3175', 'angl1264', 'angl1265', 'late1254', 'merc1242', 'macr1271', 'guin1259', 'west2851', 'coas1331']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Latn
212,pcc,http://www.wikidata.org/entity/Q35100,Bouyei,2000000,,bouy1240,Bouyei,Eurasia,24.8484,106.187,bouy1240,pcc,language,CN;VN,taik1256,,pcc,,,False,bouy1240,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189,"['taik1256', 'kamt1241', 'daic1238', 'daic1237', 'nort3326', 'nort3180', 'nort3189']",taik1256,kamt1241,Tai-Kadai,family,Kam-Tai,family,Latn
213,dgo,http://www.wikidata.org/entity/Q32730,Dogri,2000000,,dogr1250,Dogri,Eurasia,32.5534,75.7111,dogr1250,dgo,language,IN;PK,indo1319,,dgo,,,False,dogr1250,indo1319/clas1257/indo1320/indo1321/midd1375/dard1244/hima1250/kang1292/indo1311,"['indo1319', 'clas1257', 'indo1320', 'indo1321', 'midd1375', 'dard1244', 'hima1250', 'kang1292', 'indo1311']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
214,vec,http://www.wikidata.org/entity/Q32724,Venetian,2000000,,vene1258,Venetian,Eurasia,45.503581,12.214167,vene1258,vec,language,BR;HR;IT;MX;SI,indo1319,,vec,,,False,vene1258,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/ital1286/dalm1244,"['indo1319', 'clas1257', 'ital1284', 'lati1262', 'lati1263', 'impe1234', 'roma1334', 'ital1285', 'ital1286', 'dalm1244']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Latn
215,epo,http://www.wikidata.org/entity/Q143,Esperanto,2000000,,espe1235,Esperanto,Eurasia,49.3273,2.81045,espe1235,epo,language,PL,arti1236,,epo,,,False,espe1235,arti1236/espe1236,"['arti1236', 'espe1236']",arti1236,espe1236,Artificial Language,family,Esperantic,family,
216,kru,http://www.wikidata.org/entity/Q33492,Kurukh,2000000,,kuru1301,Kurukh,Eurasia,24.46442,86.46568,kuru1301,kru,language,IN,drav1251,,kru,,,False,kuru1301,drav1251/nort2698/kuru1300,"['drav1251', 'nort2698', 'kuru1300']",drav1251,nort2698,Dravidian,family,North Dravidian,family,Deva
217,mkd,http://www.wikidata.org/entity/Q9296,Macedonian,2000000,,mace1250,Macedonian,Eurasia,41.5957,21.7932,mace1250,mkd,language,AL;BG;GR;MK;RS,indo1319,,mkd,,,False,mace1250,indo1319/clas1257/balt1263/slav1255/sout3147/east2269/mace1252,"['indo1319', 'clas1257', 'balt1263', 'slav1255', 'sout3147', 'east2269', 'mace1252']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,
218,sas,http://www.wikidata.org/entity/Q1294047,Sasak,2000000,,sasa1249,Sasak,Papunesia,-8.58349,116.284,sasa1249,sas,language,ID,aust1307,,sas,,,False,sasa1249,aust1307/mala1545/bali1277/sasa1248,"['aust1307', 'mala1545', 'bali1277', 'sasa1248']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,Latn
219,pms,http://www.wikidata.org/entity/Q15085,Piedmontese,2000000,,piem1238,Piemontese,Eurasia,45.4633,8.32366,piem1238,pms,language,AU;IT;US,indo1319,,pms,,,False,piem1238,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/nort3208/gall1279/piem1239,"['indo1319', 'clas1257', 'ital1284', 'lati1262', 'lati1263', 'impe1234', 'roma1334', 'ital1285', 'west2813', 'shif1234', 'nort3208', 'gall1279', 'piem1239']",indo1319,clas1257,Indo-European,family,Classical Indo-European,family,Latn
220,bbc,http://www.wikidata.org/entity/Q33017,Toba Batak,2000000,,bata1289,Batak Toba,Papunesia,2.35498,99.1761,bata1289,bbc,language,ID,aust1307,,bbc,,,False,bata1289,aust1307/mala1545/suma1277/toba1265/sout3166/sout2849,"['aust1307', 'mala1545', 'suma1277', 'toba1265', 'sout3166', 'sout2849']",aust1307,mala1545,Austronesian,family,Malayo-Polynesian,family,Latn
